Brand,Category,Color,Size,Material,Price,Bought_Date,Original_Price,Usage_Level
New Balance,Dress,White,XS,Nylon,182,2020-09-21 06:24:21.031382,200.98,4
New Balance,Jeans,Black,XS,Silk,57,2021-04-03 06:24:21.031382,68.61,4
Under Armour,Dress,Red,M,Wool,127,2021-08-09 06:24:21.031382,153.46,4
Nike,Shoes,Green,M,Cotton,77,2020-08-10 06:24:21.031382,88.24,2
Adidas,Sweater,White,M,Nylon,113,2023-12-24 06:24:21.031382,159.54,3
Reebok,Jacket,Red,XL,Nylon,19,2021-12-30 06:24:21.031382,22.75,5
Puma,Jacket,Red,XXL,Polyester,31,2024-07-19 06:24:21.031382,34.37,1
Adidas,Dress,Red,XS,Denim,46,2021-04-06 06:24:21.031382,60.15,5
Reebok,Dress,Black,S,Wool,97,2021-12-02 06:24:21.031382,111.45,3
Adidas,Jeans,Yellow,L,Wool,80,2025-01-11 06:24:21.031382,98.91,0
Nike,Jacket,White,XL,Silk,98,2024-06-23 06:24:21.031382,146.69,4
Puma,Jacket,White,XL,Silk,150,2020-08-02 06:24:21.031382,207.21,3
Under Armour,Jacket,White,S,Nylon,68,2021-04-30 06:24:21.031382,83.84,3
Under Armour,T-shirt,Blue,XL,Polyester,49,2021-10-03 06:24:21.031382,61.9,2
New Balance,Jacket,Green,S,Nylon,97,2023-08-23 06:24:21.031382,141.38,5
Under Armour,Jacket,Green,XXL,Silk,184,2024-01-28 06:24:21.031382,264.55,2
New Balance,Jeans,Red,S,Cotton,98,2023-02-07 06:24:21.031382,136.71,1
Reebok,Shoes,Blue,XS,Polyester,91,2021-09-16 06:24:21.031382,128.04,2
Adidas,Jeans,Yellow,XL,Denim,175,2021-08-16 06:24:21.031382,249.97,3
Puma,Shoes,Blue,XL,Wool,35,2022-12-13 06:24:21.031382,39.49,2
Puma,Sweater,Blue,L,Cotton,87,2023-08-16 06:24:21.031382,127.32,2
New Balance,Jeans,Green,S,Cotton,82,2022-12-27 06:24:21.031382,115.34,5
Reebok,Jacket,Black,L,Denim,19,2024-05-16 06:24:21.031382,23.96,0
Puma,Jacket,Red,XXL,Wool,158,2021-08-29 06:24:21.031382,220.48,0
Puma,Jacket,Black,L,Denim,125,2022-02-14 06:24:21.031382,153.84,4
Adidas,Jeans,White,XXL,Nylon,89,2020-12-03 06:24:21.031382,129.8,0
Adidas,Dress,Green,L,Polyester,185,2024-05-25 06:24:21.031382,213.49,3
New Balance,Shoes,Blue,M,Cotton,92,2020-10-10 06:24:21.031382,133.56,5
Adidas,T-shirt,Red,XS,Denim,109,2023-07-25 06:24:21.031382,147.68,4
Reebok,Sweater,Yellow,S,Denim,187,2023-08-28 06:24:21.031382,208.16,2
New Balance,Dress,Yellow,XL,Nylon,39,2022-07-11 06:24:21.031382,51.85,4
Reebok,T-shirt,Blue,M,Wool,157,2023-02-06 06:24:21.031382,228.94,0
Reebok,Jeans,Black,M,Nylon,157,2024-12-03 06:24:21.031382,226.14,2
Puma,Shoes,Black,M,Cotton,152,2025-01-14 06:24:21.031382,203.88,4
Under Armour,Sweater,Red,XL,Polyester,177,2021-04-04 06:24:21.031382,226.51,5
Puma,Sweater,White,M,Polyester,42,2024-03-08 06:24:21.031382,51.85,0
Adidas,Jeans,Green,M,Wool,19,2024-03-29 06:24:21.031382,23.59,5
Under Armour,Shoes,Black,XL,Nylon,195,2022-06-19 06:24:21.031382,222.0,4
Nike,Dress,Yellow,XS,Silk,137,2022-06-05 06:24:21.031382,183.82,5
Under Armour,T-shirt,Yellow,XXL,Polyester,42,2020-09-22 06:24:21.031382,49.13,1
Adidas,Jacket,Yellow,M,Silk,41,2022-01-19 06:24:21.031382,53.87,1
Adidas,Shoes,White,S,Nylon,161,2022-11-06 06:24:21.031382,189.19,4
